AttractionID,AttractionName,PositionLat,PositionLon,distance(km)
Attraction_379000000A_000104,國立臺灣博物館,25.04276,121.51503,0.5926368414775239
Attraction_379000000A_000137,二二八和平公園,25.04132,121.51516,0.7414394192188137
Attraction_379000000A_000141,台北當代藝術館,25.05072,121.51892,0.3770458030047597
Attraction_379000000A_000158,SPOT光點台北電影館,25.05325,121.52225,0.803200323522711
Attraction_379000000A_000368,北門_承恩門,25.04773,121.51123,0.5823082615182055
Attraction_379000000A_000385,國立臺灣大學醫學院附設醫院_西址,25.04199,121.51722,0.6439771543232815
Attraction_379000000A_000387,東門_景福門,25.03907,121.51765,0.9692750042561754
Attraction_379000000A_000389,台灣基督長老教會_中山教會,25.04903,121.52438,0.7570809433740366
Attraction_379000000A_000394,臺北賓館,25.04015,121.51675,0.847793048130207
Attraction_379000000A_000401,臺北北門郵局_臺北901支,25.04692,121.5114,0.5734497292551503
Attraction_379000000A_000588,臺北市中山堂,25.04319,121.50967,0.898845561067733
Attraction_379000000A_001248,國立臺灣大學博物館群_醫學人文博物館,25.03953,121.51886,0.9351286318942768
Attraction_379000000A_001436,蒲添生故居,25.04549,121.52466,0.8142387363660198
Attraction_379000000A_001440,建成圓環,25.05381,121.51469,0.7053775866420321
Attraction_379000000A_001572,國立臺灣博物館_古生物館,25.04356,121.51436,0.539975291224157
Attraction_379000000A_001574,撫臺街洋樓 (《人民導報》舊址),25.04671,121.51081,0.6362046529792609
Attraction_379000000A_001865,Art Space 金魚空間,25.053532,121.518553,0.6540073482004607
Attraction_379000000A_001875,非畫廊Beyond Gallery,25.049806,121.522432,0.5914727855268236
Attraction_379000000A_002263,赤峰街,25.055346,121.519607,0.8763159638084176
Attraction_379000000A_002533,臺北市交通資訊中心,25.04925,121.51873,0.23722515161796806
Attraction_379000000A_002576,國立臺灣博物館_鐵道部園區,25.048834,121.511383,0.5782718232321306
Attraction_379000000A_002597,臺灣省城隍廟,25.04395,121.51271,0.607699796395756
Attraction_379000000A_002641,順益台灣原住民博物館_美術分館,25.046377,121.510951,0.6304386707640568
Attraction_379000000A_002650,城中市場,25.043557,121.512222,0.6733429946091288
Attraction_379000000A_002994,捷運北門站_台北鐵道局,25.04954,121.51018,0.7146898081746647
Attraction_379000000A_003084,陳德星堂,25.05564,121.51592,0.8752765287945878
Attraction_379000000A_003109,博愛路_漢口街_相機街,25.04533,121.51139,0.6287691075158316
Attraction_379000000A_003111,重慶南路_書店街,25.04459,121.51322,0.5214809531895308
Attraction_379000000A_003113,沅陵商店街_鞋子街,25.042877,121.512708,0.6964090539868917
Attraction_379000000A_003122,捷運中山地下書街_誠品R79,25.054986,121.520577,0.8740311966849257
Attraction_379000000A_003148,後站商圈,25.05038,121.51357,0.4488642726930315
Attraction_379000000A_003153,捷運中山站街區_心中山線形公園,25.05582,121.5206,0.9598054275389265
Attraction_379000000A_003154,中山北路條通商圈,25.05165,121.52264,0.7111904584454883
Attraction_379000000A_003156,台北地下街,25.04956,121.51389,0.3694589078534649
Attraction_379000000A_003163,臺鐵臺北車站,25.04775,121.51704,0.0068534538206896116
Attraction_379000000A_003169,逸仙公園,25.04774,121.52007,0.3098681314847894
Attraction_379000000A_003673,國際書局(舊址),25.053777,121.511891,0.8391375889655213
Attraction_379000000A_003674,天馬茶房,25.054021,121.512162,0.8445263437416215
Attraction_379000000A_003676,臺北記憶倉庫(三井倉庫),25.047697,121.512426,0.4617081024879797
Attraction_379000000A_003677,渭水驛站,25.05472,121.511781,0.9300289821459173
Attraction_379000000A_003678,白色恐怖政治受難者紀念碑,25.039508,121.514129,0.9631436630747788
